pennsylvania_AL,pennsylvania_AL_label,pennsylvania_weekend,pennsylvania_week,pennsylvania_season
1,Minimal,2012-10-06,40,2012-13
1,Minimal,2012-10-13,41,2012-13
1,Minimal,2012-10-20,42,2012-13
1,Minimal,2012-10-27,43,2012-13
1,Minimal,2012-11-03,44,2012-13
1,Minimal,2012-11-10,45,2012-13
1,Minimal,2012-11-17,46,2012-13
1,Minimal,2012-11-24,47,2012-13
1,Minimal,2012-12-01,48,2012-13
1,Minimal,2012-12-08,49,2012-13
2,Minimal,2012-12-15,50,2012-13
4,Low,2012-12-22,51,2012-13
6,Moderate,2012-12-29,52,2012-13
3,Minimal,2013-01-05,1,2012-13
6,Moderate,2013-01-12,2,2012-13
8,High,2013-01-19,3,2012-13
4,Low,2013-01-26,4,2012-13
1,Minimal,2013-02-02,5,2012-13
1,Minimal,2013-02-09,6,2012-13
2,Minimal,2013-02-16,7,2012-13
1,Minimal,2013-02-23,8,2012-13
1,Minimal,2013-03-02,9,2012-13
1,Minimal,2013-03-09,10,2012-13
1,Minimal,2013-03-16,11,2012-13
1,Minimal,2013-03-23,12,2012-13
1,Minimal,2013-03-30,13,2012-13
1,Minimal,2013-04-06,14,2012-13
1,Minimal,2013-04-13,15,2012-13
1,Minimal,2013-04-20,16,2012-13
1,Minimal,2013-04-27,17,2012-13
1,Minimal,2013-05-04,18,2012-13
1,Minimal,2013-05-11,19,2012-13
1,Minimal,2013-05-18,20,2012-13
1,Minimal,2013-05-25,21,2012-13
1,Minimal,2013-06-01,22,2012-13
1,Minimal,2013-06-08,23,2012-13
1,Minimal,2013-06-15,24,2012-13
1,Minimal,2013-06-22,25,2012-13
1,Minimal,2013-06-29,26,2012-13
1,Minimal,2013-07-06,27,2012-13
1,Minimal,2013-07-13,28,2012-13
1,Minimal,2013-07-20,29,2012-13
1,Minimal,2013-07-27,30,2012-13
1,Minimal,2013-08-03,31,2012-13
1,Minimal,2013-08-10,32,2012-13
1,Minimal,2013-08-17,33,2012-13
1,Minimal,2013-08-24,34,2012-13
1,Minimal,2013-08-31,35,2012-13
1,Minimal,2013-09-07,36,2012-13
1,Minimal,2013-09-14,37,2012-13
1,Minimal,2013-09-21,38,2012-13
1,Minimal,2013-09-28,39,2012-13
1,Minimal,2013-10-05,40,2013-14
1,Minimal,2013-10-12,41,2013-14
1,Minimal,2013-10-19,42,2013-14
1,Minimal,2013-10-26,43,2013-14
1,Minimal,2013-11-02,44,2013-14
1,Minimal,2013-11-09,45,2013-14
1,Minimal,2013-11-16,46,2013-14
1,Minimal,2013-11-23,47,2013-14
1,Minimal,2013-11-30,48,2013-14
1,Minimal,2013-12-07,49,2013-14
1,Minimal,2013-12-14,50,2013-14
1,Minimal,2013-12-21,51,2013-14
5,Low,2013-12-28,52,2013-14
5,Low,2014-01-04,1,2013-14
4,Low,2014-01-11,2,2013-14
5,Low,2014-01-18,3,2013-14
6,Moderate,2014-01-25,4,2013-14
5,Low,2014-02-01,5,2013-14
4,Low,2014-02-08,6,2013-14
2,Minimal,2014-02-15,7,2013-14
2,Minimal,2014-02-22,8,2013-14
1,Minimal,2014-03-01,9,2013-14
1,Minimal,2014-03-08,10,2013-14
1,Minimal,2014-03-15,11,2013-14
1,Minimal,2014-03-22,12,2013-14
1,Minimal,2014-03-29,13,2013-14
1,Minimal,2014-04-05,14,2013-14
1,Minimal,2014-04-12,15,2013-14
1,Minimal,2014-04-19,16,2013-14
1,Minimal,2014-04-26,17,2013-14
1,Minimal,2014-05-03,18,2013-14
1,Minimal,2014-05-10,19,2013-14
1,Minimal,2014-05-17,20,2013-14
1,Minimal,2014-05-24,21,2013-14
1,Minimal,2014-05-31,22,2013-14
1,Minimal,2014-06-07,23,2013-14
1,Minimal,2014-06-14,24,2013-14
1,Minimal,2014-06-21,25,2013-14
1,Minimal,2014-06-28,26,2013-14
1,Minimal,2014-07-05,27,2013-14
1,Minimal,2014-07-12,28,2013-14
1,Minimal,2014-07-19,29,2013-14
1,Minimal,2014-07-26,30,2013-14
1,Minimal,2014-08-02,31,2013-14
1,Minimal,2014-08-09,32,2013-14
1,Minimal,2014-08-16,33,2013-14
1,Minimal,2014-08-23,34,2013-14
1,Minimal,2014-08-30,35,2013-14
1,Minimal,2014-09-06,36,2013-14
1,Minimal,2014-09-13,37,2013-14
1,Minimal,2014-09-20,38,2013-14
1,Minimal,2014-09-27,39,2013-14
1,Minimal,2014-10-04,40,2014-15
1,Minimal,2014-10-11,41,2014-15
1,Minimal,2014-10-18,42,2014-15
1,Minimal,2014-10-25,43,2014-15
1,Minimal,2014-11-01,44,2014-15
1,Minimal,2014-11-08,45,2014-15
1,Minimal,2014-11-15,46,2014-15
1,Minimal,2014-11-22,47,2014-15
3,Minimal,2014-11-29,48,2014-15
2,Minimal,2014-12-06,49,2014-15
5,Low,2014-12-13,50,2014-15
9,High,2014-12-20,51,2014-15
10,High,2014-12-27,52,2014-15
10,High,2015-01-03,53,2014-15
9,High,2015-01-10,1,2014-15
8,High,2015-01-17,2,2014-15
10,High,2015-01-24,3,2014-15
10,High,2015-01-31,4,2014-15
9,High,2015-02-07,5,2014-15
5,Low,2015-02-14,6,2014-15
4,Low,2015-02-21,7,2014-15
3,Minimal,2015-02-28,8,2014-15
4,Low,2015-03-07,9,2014-15
1,Minimal,2015-03-14,10,2014-15
2,Minimal,2015-03-21,11,2014-15
2,Minimal,2015-03-28,12,2014-15
2,Minimal,2015-04-04,13,2014-15
1,Minimal,2015-04-11,14,2014-15
1,Minimal,2015-04-18,15,2014-15
1,Minimal,2015-04-25,16,2014-15
1,Minimal,2015-05-02,17,2014-15
1,Minimal,2015-05-09,18,2014-15
1,Minimal,2015-05-16,19,2014-15
1,Minimal,2015-05-23,20,2014-15
1,Minimal,2015-05-30,21,2014-15
1,Minimal,2015-06-06,22,2014-15
1,Minimal,2015-06-13,23,2014-15
1,Minimal,2015-06-20,24,2014-15
1,Minimal,2015-06-27,25,2014-15
1,Minimal,2015-07-04,26,2014-15
1,Minimal,2015-07-11,27,2014-15
1,Minimal,2015-07-18,28,2014-15
1,Minimal,2015-07-25,29,2014-15
1,Minimal,2015-08-01,30,2014-15
1,Minimal,2015-08-08,31,2014-15
1,Minimal,2015-08-15,32,2014-15
1,Minimal,2015-08-22,33,2014-15
1,Minimal,2015-08-29,34,2014-15
1,Minimal,2015-09-05,35,2014-15
1,Minimal,2015-09-12,36,2014-15
1,Minimal,2015-09-19,37,2014-15
1,Minimal,2015-09-26,38,2014-15
1,Minimal,2015-10-03,39,2014-15
1,Minimal,2015-10-10,40,2015-16
1,Minimal,2015-10-17,41,2015-16
1,Minimal,2015-10-24,42,2015-16
1,Minimal,2015-10-31,43,2015-16
1,Minimal,2015-11-07,44,2015-16
1,Minimal,2015-11-14,45,2015-16
1,Minimal,2015-11-21,46,2015-16
1,Minimal,2015-11-28,47,2015-16
1,Minimal,2015-12-05,48,2015-16
2,Minimal,2015-12-12,49,2015-16
2,Minimal,2015-12-19,50,2015-16
3,Minimal,2015-12-26,51,2015-16
4,Low,2016-01-02,52,2015-16
3,Minimal,2016-01-09,1,2015-16
2,Minimal,2016-01-16,2,2015-16
2,Minimal,2016-01-23,3,2015-16
3,Minimal,2016-01-30,4,2015-16
3,Minimal,2016-02-06,5,2015-16
3,Minimal,2016-02-13,6,2015-16
3,Minimal,2016-02-20,7,2015-16
5,Low,2016-02-27,8,2015-16
6,Moderate,2016-03-05,9,2015-16
9,High,2016-03-12,10,2015-16
6,Moderate,2016-03-19,11,2015-16
7,Moderate,2016-03-26,12,2015-16
5,Low,2016-04-02,13,2015-16
3,Minimal,2016-04-09,14,2015-16
3,Minimal,2016-04-16,15,2015-16
3,Minimal,2016-04-23,16,2015-16
3,Minimal,2016-04-30,17,2015-16
2,Minimal,2016-05-07,18,2015-16
1,Minimal,2016-05-14,19,2015-16
1,Minimal,2016-05-21,20,2015-16
1,Minimal,2016-05-28,21,2015-16
1,Minimal,2016-06-04,22,2015-16
1,Minimal,2016-06-11,23,2015-16
1,Minimal,2016-06-18,24,2015-16
1,Minimal,2016-06-25,25,2015-16
1,Minimal,2016-07-02,26,2015-16
1,Minimal,2016-07-09,27,2015-16
1,Minimal,2016-07-16,28,2015-16
1,Minimal,2016-07-23,29,2015-16
1,Minimal,2016-07-30,30,2015-16
1,Minimal,2016-08-06,31,2015-16
1,Minimal,2016-08-13,32,2015-16
1,Minimal,2016-08-20,33,2015-16
1,Minimal,2016-08-27,34,2015-16
1,Minimal,2016-09-03,35,2015-16
1,Minimal,2016-09-10,36,2015-16
1,Minimal,2016-09-17,37,2015-16
1,Minimal,2016-09-24,38,2015-16
1,Minimal,2016-10-01,39,2015-16
1,Minimal,2016-10-08,40,2016-17
1,Minimal,2016-10-15,41,2016-17
1,Minimal,2016-10-22,42,2016-17
1,Minimal,2016-10-29,43,2016-17
1,Minimal,2016-11-05,44,2016-17
1,Minimal,2016-11-12,45,2016-17
1,Minimal,2016-11-19,46,2016-17
1,Minimal,2016-11-26,47,2016-17
1,Minimal,2016-12-03,48,2016-17
1,Minimal,2016-12-10,49,2016-17
2,Minimal,2016-12-17,50,2016-17
2,Minimal,2016-12-24,51,2016-17
5,Low,2016-12-31,52,2016-17
4,Low,2017-01-07,1,2016-17
4,Low,2017-01-14,2,2016-17
7,Moderate,2017-01-21,3,2016-17
8,High,2017-01-28,4,2016-17
10,High,2017-02-04,5,2016-17
10,High,2017-02-11,6,2016-17
10,High,2017-02-18,7,2016-17
9,High,2017-02-25,8,2016-17
5,Low,2017-03-04,9,2016-17
4,Low,2017-03-11,10,2016-17
5,Low,2017-03-18,11,2016-17
3,Minimal,2017-03-25,12,2016-17
5,Low,2017-04-01,13,2016-17
2,Minimal,2017-04-08,14,2016-17
2,Minimal,2017-04-15,15,2016-17
1,Minimal,2017-04-22,16,2016-17
1,Minimal,2017-04-29,17,2016-17
1,Minimal,2017-05-06,18,2016-17
1,Minimal,2017-05-13,19,2016-17
1,Minimal,2017-05-20,20,2016-17
1,Minimal,2017-05-27,21,2016-17
1,Minimal,2017-06-03,22,2016-17
1,Minimal,2017-06-10,23,2016-17
1,Minimal,2017-06-17,24,2016-17
1,Minimal,2017-06-24,25,2016-17
1,Minimal,2017-07-01,26,2016-17
1,Minimal,2017-07-08,27,2016-17
1,Minimal,2017-07-15,28,2016-17
1,Minimal,2017-07-22,29,2016-17
1,Minimal,2017-07-29,30,2016-17
1,Minimal,2017-08-05,31,2016-17
1,Minimal,2017-08-12,32,2016-17
1,Minimal,2017-08-19,33,2016-17
1,Minimal,2017-08-26,34,2016-17
1,Minimal,2017-09-02,35,2016-17
1,Minimal,2017-09-09,36,2016-17
1,Minimal,2017-09-16,37,2016-17
1,Minimal,2017-09-23,38,2016-17
1,Minimal,2017-09-30,39,2016-17
1,Minimal,2017-10-07,40,2017-18
1,Minimal,2017-10-14,41,2017-18
1,Minimal,2017-10-21,42,2017-18
1,Minimal,2017-10-28,43,2017-18
2,Minimal,2017-11-04,44,2017-18
2,Minimal,2017-11-11,45,2017-18
2,Minimal,2017-11-18,46,2017-18
2,Minimal,2017-11-25,47,2017-18
2,Minimal,2017-12-02,48,2017-18
2,Minimal,2017-12-09,49,2017-18
3,Minimal,2017-12-16,50,2017-18
3,Minimal,2017-12-23,51,2017-18
6,Moderate,2017-12-30,52,2017-18
6,Moderate,2018-01-06,1,2017-18
7,Moderate,2018-01-13,2,2017-18
10,High,2018-01-20,3,2017-18
10,High,2018-01-27,4,2017-18
10,High,2018-02-03,5,2017-18
10,High,2018-02-10,6,2017-18
10,High,2018-02-17,7,2017-18
10,High,2018-02-24,8,2017-18
9,High,2018-03-03,9,2017-18
6,Moderate,2018-03-10,10,2017-18
6,Moderate,2018-03-17,11,2017-18
5,Low,2018-03-24,12,2017-18
5,Low,2018-03-31,13,2017-18
4,Low,2018-04-07,14,2017-18
3,Minimal,2018-04-14,15,2017-18
2,Minimal,2018-04-21,16,2017-18
2,Minimal,2018-04-28,17,2017-18
2,Minimal,2018-05-05,18,2017-18
1,Minimal,2018-05-12,19,2017-18
1,Minimal,2018-05-19,20,2017-18
1,Minimal,2018-05-26,21,2017-18
1,Minimal,2018-06-02,22,2017-18
1,Minimal,2018-06-09,23,2017-18
1,Minimal,2018-06-16,24,2017-18
1,Minimal,2018-06-23,25,2017-18
1,Minimal,2018-06-30,26,2017-18
1,Minimal,2018-07-07,27,2017-18
1,Minimal,2018-07-14,28,2017-18
1,Minimal,2018-07-21,29,2017-18
1,Minimal,2018-07-28,30,2017-18
1,Minimal,2018-08-04,31,2017-18
1,Minimal,2018-08-11,32,2017-18
1,Minimal,2018-08-18,33,2017-18
1,Minimal,2018-08-25,34,2017-18
1,Minimal,2018-09-01,35,2017-18
1,Minimal,2018-09-08,36,2017-18
1,Minimal,2018-09-15,37,2017-18
1,Minimal,2018-09-22,38,2017-18
1,Minimal,2018-09-29,39,2017-18
